identifier	2019	geometry
65a0f7c4-433b-46ec-aeda-f6bb6b340902	1	0106000020110F00000100000001030000000100000006000000CA552A44CF0D354176B356E3BDBB5541240D698FCF0D3541143BE034BEBB5541F076BDDAD40D35413B69B4E6BDBB5541149648B0D40D35412E0353C3BDBB5541ED400ABED30D354171D2B7A0BDBB5541CA552A44CF0D354176B356E3BDBB5541
a6f2c341-3d9e-465b-a78f-20a8e4778c3e	1	0106000020110F0000010000000103000000010000000D00000022EB1611DE0D3541C3B96B16C1BB5541C6315595DA0D3541F35345F5BFBB5541A8EA658CD50D354190299CE0C0BB55411E23B82FD80D35418913C7C7C1BB5541DA38CA23C60D35417AD74D13C5BB5541C06FE1EFC50D3541C36CDD4FC5BB5541FB146C7DC20D35410D026D8CC5BB5541B0DE096CB70D35413F6A9296C1BB55411A8B2A64B60D354171AD73C3C1BB55410952FFF2C10D354113C897EBC5BB5541455D6DF3C60D3541F59B1988C5BB5541A3F5BA04C70D354194A03647C5BB554122EB1611DE0D3541C3B96B16C1BB5541
7bb6b438-7116-4aff-9a91-77ace66ed5d3	1	0106000020110F0000010000000103000000010000000900000073B026603B0E3541CCFA81BDA7BB5541EE6A98813D0E3541DF8727ABA8BB5541A728E551410E354172678354AABB5541698A6374420E3541AAA616D3AABB55414321000B430E3541AF84B514ABBB5541080EFD7A7D0E35417D52B5B2A2BB55419F39F824740E3541435164A19EBB5541E8EEFEB3390E354123B78803A7BB554173B026603B0E3541CCFA81BDA7BB5541
256a4dc4-629a-43ad-b6ce-009f8ca904ac	1	0106000020110F0000010000000103000000010000000600000073B026603B0E3541CCFA81BDA7BB5541CC05FE17350E3541D67A0BA0A8BB554146F7C3F43A0E3541F59EE039ABBB5541344371613F0E3541E35C5F9AAABB5541A728E551410E354172678354AABB554173B026603B0E3541CCFA81BDA7BB5541
aa2ed50a-4ed7-457b-8ed5-c70dc2dd439e	1	0106000020110F0000010000000103000000010000001000000072947934DD0D3541174F5737BFBB55417459C0C1DB0D3541FC953A90BFBB5541CE2EC1D6DC0D35411F65BEE0BFBB5541C2799D43DD0D3541AE0456C9BFBB5541810FB9F2E00D3541D4A776DBC0BB5541CBDF387FE10D3541A151FED4C0BB554170AA809DE10D3541153CFAF5C0BB554125C748D9E20D3541D3BB8553C1BB5541F52EDBEAD10D3541694A54BDC4BB5541D1CDE9A0D20D35417ABCC0F9C4BB554174AB9A5EE40D35410D27B169C1BB5541343EB1EFE10D3541D2CEB4A2C0BB5541780D16CDE10D3541306702B4C0BB5541551A5349DE0D3541AB7976B0BFBB5541DCB81C04DE0D3541D47FF259BFBB554172947934DD0D3541174F5737BFBB5541
a7d1b29f-94d2-418d-8e68-ca6ead3aff63	1	0106000020110F0000010000000103000000010000000A00000034943C88C20D3541B08EBF3CBFBB5541E3C30521C40D35416CFAA5A5BFBB5541BA70FBB0C80D3541F3BF43A4BEBB55418E080499CB0D3541FC0FD876BEBB5541960D4044CB0D35416A1DDE1EBEBB5541A1E1E71DC80D354120C6BF4DBEBB5541D0FA1CEDC30D3541174F5737BFBB5541A9A5DEFAC20D3541E2BC85CFBEBB55417A50A008C20D3541A6A04AF4BEBB554134943C88C20D3541B08EBF3CBFBB5541
