identifier	1982	2019	1841	geometry
SSP_IS_002	1	0	0	0106000020110F00000100000001030000000100000042000000E836A46BD0F234416C6CF9CF86AF55417AB4B0D2D1F23441A3A8B02B94AF5541E465F592D2F23441287341E39EAF5541F1F55C833AF33441AB77A1DE9CAF55415E59D66565F334414B2F99009CAF5541C763480A6CF33441F68C94B29BAF55417E4CDF1C6CF334414FFBDFF59BAF5541FD18A75F74F334415E6326B79BAF5541535FD52674F33441BD3D8EE79AAF554101AF832586F33441EF6F53B99AAF5541600BDC4C96F3344199AF2C879AAF5541E0C7C79DB6F334411213FA119AAF5541CEBB7AF8F1F33441439E243E99AF55413A8B56A1EFF33441F07D7C6293AF554154D2E99EEEF33441DF9A86D590AF5541BADB80AAEDF33441CB25A6FA8DAF554104637FE9EAF334410D3C1CEC86AF5541EB44CA69E8F33441AEA7A4EC80AF5541ED45DB54E6F3344159DB69C17BAF55417B1DD174BFF3344173809D0B7AAF5541A8D37732AFF33441030B048C79AF5541D16A6EFAA6F33441D767738C78AF55414C70EAFC8CF33441804E186075AF5541FF7D516E7EF3344153F547CD73AF554146A37EC36DF334416908399371AF5541C7D036726BF3344116975D5871AF5541A45D2F3D69F334412573271B71AF5541DD12E39865F3344176A20BC470AF5541DD12E39865F3344176A20BC470AF554185EF18EF5FF334413E1C013970AF55411AC5C5F25FF33441F440E6CE6FAF5541F47FF73D50F334413F3CB33B6EAF55417FA233340DF3344136D1E00568AF5541C6B77476E5F2344109663DDF6AAF554113579F1BE5F234414CA1484B6BAF55419F55131CE6F234418A8965386BAF5541F8B81FEBE0F2344132EDC4DF71AF554112A55254DCF23441F68D8A8877AF5541B9594DF7DAF234417F04057277AF5541AB22D9C7D9F2344161C9D51679AF5541C1704A43D7F2344131A572107CAF5541CEF806A2D5F234410395E94C7EAF55418941E293D4F234410DAB10997FAF55412F62CC05D4F23441B47AD21780AF5541519EFDCFD3F2344136B11C9580AF554176EBFDADD2F23441F836502882AF5541CDDD2DFFCFF23441B904801D82AF5541D41CCC99CCF234414AA0AD2582AF55417335F56FC7F234415CE70B4182AF5541485F54E2C4F234410D57745082AF5541C9E338E2C4F23441D238648582AF5541721D7371C7F234417AE4B77982AF5541A7D6B885C7F234419312F4B082AF55411D2B82CFC4F23441CCB38EBE82AF5541967389E8C4F23441F60970E882AF55410E9F3484CBF23441371838C282AF554150BAD530CBF234417D7A687184AF55417C18AEE3CAF234417B8020F385AF5541A8508FE7CAF234415296DB4A86AF554193AF7687CBF234418C5AD1A186AF554196C746D2CCF23441C7AD6EF286AF5541535DF317CEF2344145697C2D87AF5541FBD0EB48CFF23441E831261887AF5541A48FE95FD0F23441A662079686AF55415C8F326AD0F23441E84E658B86AF5541E836A46BD0F234416C6CF9CF86AF5541
SSP_IS_001	0	1	0	0106000020110F000001000000010300000001000000DF000000035D9375D0F2344136F060FD86AF5541C1CBAF91D0F23441EA6BF63A88AF5541B1BE91C0D0F23441994F8A438AAF554169AEC6CFD0F234419E6A6AF88AAF5541B96A448DD1F2344179EE792493AF5541413CEF9FD1F23441F97BEC2E94AF5541CAF9E902D2F2344155D1D11998AF554113524D0ED2F23441CDF5F30699AF5541DDF7E256D2F234415592F93A9CAF55416132DD92D2F23441217341E39EAF5541CC5D5D98D2F234414A44B61E9FAF5541BB51EB2FD6F234414F61C0249FAF5541DCF87C3CD7F234414004EA1E9FAF5541E94DBF19D9F234414CBD6ADE9EAF55417307713FDAF2344121232CD99EAF5541C29DFBF7DBF234414720F3BE9EAF5541D6105F43DEF2344115E93C9A9EAF5541773EEFE6DFF23441104CC57A9EAF55410C32904BE1F2344198B7F8A99EAF55415BC81A04E3F23441CF8B26EE9EAF5541AA5EA5BCE4F23441525AE2FD9EAF554153C5A96CE8F23441FB2565F39EAF55414EC3B307ECF23441A3F1E7E89EAF55412311FA80F2F234411B86B4B99EAF5541B302A580F7F234415C4653469EAF55413BBBDB73FAF23441FF745E1C9EAF5541EF5BCF62FEF234411FD5ADE29DAF554160A027D800F334411FD5ADE29DAF55414229D8C205F33441C8A030D89DAF554164D7A57F06F33441BD6641999DAF55418FBEE74809F334410EFE46849DAF5541D01908900CF334416532C48E9DAF554187BB76B10EF33441DDC6905F9DAF5541F8FFCE2611F33441D72919409DAF5541747E16DB13F33441DDC6905F9DAF55416442313717F33441E363087F9DAF5541261E8F9719F33441EE9DF7BD9DAF5541C74B1F3B1BF33441149BBEA39DAF5541DBBE82861DF3344134FB0D6A9DAF554160763E4722F33441AC8FDA3A9DAF5541F569DFAB23F3344129C11E2B9DAF554139C67A2525F33441D72919409DAF55415873CDAF27F33441FD26E0259DAF5541AB38EF9529F334418440B5549DAF554193A2D4C13AF3344158BC29F59CAF55412BFD510561F33441ADF541209CAF55414ED97E5D65F33441E03F37FC9BAF5541172443BA6BF33441F6D86EC79BAF5541B104BCD16BF334417F5DB60B9CAF5541E495AC5A74F33441509CC4DC9BAF5541E9CB262674F33441D4A87D269BAF554169C3F14081F33441A2829DF39AAF5541D78F41218EF334414866A0C19AAF5541708329E394F33441247864A79AAF5541EF6146409FF33441256B287F9AAF55419A285C6FAAF33441DA33BD539AAF5541A73C8B05B6F3344120BBC1269AAF5541E7E73F2DC0F334410C0555FF99AF55417A3E1F93C6F3344122637EE699AF5541F802F094D1F3344148EBC2BB99AF5541C07F9F24D5F33441DB86EFAD99AF55415CB74218D8F33441A7F379A299AF5541374A5EDBD9F3344163A3A29B99AF554144D99BA3DCF33441AD8AD59099AF55418DAAB0BFDFF3344132F4C28499AF5541FEAFD388E1F33441E13BD47D99AF554110420C37E4F33441CB266C7399AF55415E810D1DE7F3344189802B6899AF5541CA8B8FE7E8F334417975376199AF55415EEE2310EBF33441B134D65899AF5541808C4319EBF33441900EA77F99AF5541D193A896ECF33441DE67D48099AF55414DEF8695ECF334413682EE5299AF55414B8862F8F1F334413C9E243E99AF55415D3ABF40EFF334415789966593AF554127CB2115EEF33441BF3D67E190AF55412BECE398ECF334419F24DEAF8DAF5541E0A0DDDCEBF334413E659B1B8CAF554149A7686CE9F334413E9BFFDC86AF55412E128690E8F33441EF21C3BB83AF5541D739522AE8F334414C0F594782AF55419140458CE7F33441BDE06D0780AF554123BA1177E6F3344111DF56157CAF55418E104BA0C2F33441E7DB392B7AAF55414CA7B7C4ADF33441ADBA27C679AF5541F887CFBAA6F33441577474EE78AF55414A5CB1EAA3F33441229F318B78AF5541E55148B4A1F33441C5CD3C6178AF55413CEB43049EF33441885C97FD77AF5541B4320D119BF334414CEBF19977AF5541F4572AE396F334418CAB902677AF5541E0E4C69794F3344124A0ACBD76AF5541FC5A9B7A91F3344165604B4A76AF5541250CDACE8CF3344123522EC775AF55414ABB22BE8BF33441EC7D008375AF5541280D55018BF33441DBA6992475AF5541A98D921A8AF334418FAC0B5975AF5541149AF1B588F334410CDE4F4975AF5541683272D386F33441AF0C5B1F75AF554181A7CB8385F33441A96FE3FF74AF5541321141CB83F33441F56971CB74AF5541B692F91681F334413CC7877774AF5541C4CD63887FF334410B90D15274AF5541D108CEF97DF334410056E21374AF55418EAC32807CF33441A384EDE973AF5541B25B7B6F7BF33441A384EDE973AF5541F07F1D0F79F33441984AFEAA73AF5541608E720F74F33441A7D3E61273AF554110F8E75672F33441A1366FF372AF5541B6276E5F70F33441A1366FF372AF55410AC0EE7C6EF33441CDD0ADF872AF55412335482D6DF3344145657AC972AF5541B0EF74856CF33441905F089572AF5541A5B585466CF33441B1BF575B72AF5541AB5CFCA16CF3344116E5401072AF5541B308EA866DF33441B235E42472AF5541E540D1B06DF3344128BDD00172AF5541DE607F6867F33441D72FD37071AF5541A46F31E15EF33441E4DEFFAB70AF55416C7D7D8C5FF33441C754EEFD6FAF55415D355BA04DF33441AD80B7676EAF55419AFF93584DF334411545C4F36DAF5541BAAEDC474CF334419FFFF04B6DAF55414BA473114AF334417A51238F6CAF5541718E267247F33441B2744AFC6BAF554147E1D3E744F334411CCF278E6BAF554110FA911E42F33441D8C00A0B6BAF5541E54C3F943FF33441F183E2B16AAF5541640962513BF33441554148246AAF554127239BBA36F334416867A8AB69AF55418131F0BA31F33441A727473869AF5541259CE0342EF334414956520E69AF55410865628D28F33441C68796FE68AF55417AE7950B24F334416F5319F468AF5541C180915B20F334414956520E69AF5541712571141DF33441D95EFD5C69AF5541484A91221BF33441FB687CB069AF5541F95211CB0DF334416A007D7168AF5541FC340F48E5F23441C720CF616BAF55413EC62743E4F23441A0D3B60E6DAF5541103C51B4E3F23441AB4087F96DAF554181694EFAE0F23441B30A8E7571AF55411C0D4484E0F2344184BD670C72AF554191273A10DFF234414603125973AF554156DE12B3DDF2344147CF451775AF55419EEEF5E0DCF234413BA3C92376AF55419CBC5AF9DBF23441AB340B3A77AF5541C4CD5047DAF234415598814379AF5541B372FE8AD9F23441986EC2257AAF55415A0CF680D8F23441F05960657BAF55416FD88CA4D7F234415DA92E6E7CAF55419A61F8BCD6F234416ACF6F7F7DAF5541DF71B93AD5F23441F1C030477FAF55413867FD3AD4F23441CB42F27480AF5541D43FDA13D3F23441E8B10D9380AF554172D16DCAD2F234413949137E80AF5541ADF49437D2F2344149F93A6180AF55419680B6B9D1F23441B1DDDF4E80AF5541800CD83BD1F2344118C2843C80AF5541BB2FFFA8D0F234417FA6292A80AF55413CB03CC2CFF234413EBF4B2280AF5541BD307ADBCEF234413EBF4B2280AF5541038E9087CEF234413EBF4B2280AF5541D1085C6CCDF23441C18D073280AF5541B4F705CFCCF234416FF6014780AF5541EF1A2D3CCCF2344108125D5980AF55417638E274CBF23441F861357680AF5541099086ECCAF23441D2646E9080AF55414FED9C98CAF2344180CD68A580AF55416EFF6D68C9F234411E863BD780AF5541BF967353C9F23441B6A196E980AF55418774C718C8F23441CCEE35EC80AF55415A8C0A1DC7F234415F6D19DF80AF554143182C9FC6F23441448302BD80AF5541622AFD6EC5F2344154332AA080AF554197B0ACBCC4F234412899EB9A80AF55418C76BD7DC4F23441134C4C9880AF5541E3AA3A88C4F2344123FC737B80AF55411931EAD5C3F234414E96B28080AF5541C1FC6CCBC3F2344154332AA080AF5541618F7BB4C1F234412899EB9A80AF554110F875C9C1F23441F761357680AF55418CDB3BC3C0F23441F761357680AF55418CDB3BC3C0F23441134C4C9880AF55410F5DF40EBEF23441134C4C9880AF55410F5DF40EBEF23441B67A576E80AF5541E2743713BDF23441B67A576E80AF5541E2743713BDF23441FDFEAC9580AF5541DC3C3E39B9F23441134C4C9880AF5541E2D9B558B9F234417044803D81AF55418B40BA08BDF2344186911F4081AF55418B40BA08BDF234418C2E975F81AF554161F4F9F9BDF234418C2E975F81AF5541B8287704BEF234419CDEBE4281AF554134A7BEB8C0F234419CDEBE4281AF554134A7BEB8C0F23441A17B366281AF554105BE868AC1F23441A17B366281AF554105BE868AC1F23441B22B5E4581AF55411ECE61F5C3F234419CDEBE4281AF5541C799E4EAC3F2344176E1F75C81AF5541407C2FB2C4F2344176E1F75C81AF5541407C2FB2C4F234419CDEBE4281AF554149B5A3BEC6F2344186911F4081AF554165C6F95BC7F234416094585A81AF55416B63717BC7F23441149ACA8E81AF55410E927C51C7F234419D05FEBD81AF554155EF92FDC6F23441E94D0A8082AF5541B2C08727C7F2344157F6650883AF5541B2C08727C7F234411636C77B83AF55416029823CC7F23441AADBE9E983AF554191024F48C7F2344123C7DFFF84AF5541B2C08727C7F23441FF0EECC185AF55416029823CC7F23441C4EBC45486AF55416C63717BC7F2344121BDB97E86AF55418E113F38C8F23441E0FC1AF286AF55410C91011FC9F2344194028D2687AF55413979BE1ACAF234419F3C7C6587AF554115CA752BCBF23441AB766BA487AF55411E03EA37CDF2344102ABE8AE87AF5541F953A148CEF23441A5D9F38487AF5541BE307ADBCEF234414808FF5A87AF5541D5A45859CFF234411134D11687AF5541035D9375D0F2344136F060FD86AF5541
SSP_IS_002	0	0	1	0106000020110F0000010000000103000000010000002F000000A31608AACFF234419D842E6187AF554135941411D1F23441D4C0E5BC94AF55419F4559D1D1F23441598B76749FAF5541CFF892AAD6F23441649DA85E9FAF5541897579D7DEF23441B1BFA65A9FAF5541DE732483E4F234416CE5045C9FAF55419E1318B8F2F2344114BC97249FAF554155A70E70FEF23441469571D29EAF5541B6DFECF706F334419FF958A49EAF5541388920D912F334413130405D9EAF5541ACD5C0C139F33441DC8FD66F9DAF554119393AA464F334417C47CE919CAF55418243AC486BF3344127A5C9439CAF5541392C435B6BF33441801315879CAF5541B8F80A9E73F334418F7B5B489CAF55410E3F396573F33441EE55C3789BAF5541BC8EE76385F334412088884A9BAF55411BEB3F8B95F33441CAC761189BAF55419BA72BDCB5F33441432B2FA39AAF5541899BDE36F1F3344174B659CF99AF55413E215172EEF33441AC8184DC91AF554175BBE4E8ECF33441FC3DDB8B8EAF5541BF42E327EAF334413E54517D87AF5541A6242EA8E7F33441DFBFD97D81AF5541A8253F93E5F334418AF39E527CAF554136FD34B3BEF33441A498D29C7AAF5541D122EA99ABF334410ED0B1517AAF5541D2EAA229A0F334415F944A2879AF554114EA206C8BF33441145FFBB676AF55411580C50A68F3344168A8F59F72AF55411FD0311B68F33441A9785B9771AF5541C7A55E2D5EF33441F47E305471AF5541809252AD5EF33441EBF3655B70AF5541067AC83943F3344182E820C46DAF55413A8297720CF3344167E9159768AF55418197D8B4E4F234413A7E72706BAF554148ECD184E3F2344133DC13DA6CAF5541D49D8047DFF2344129A0446C72AF5541AFE2061ADAF234418847F7C778AF554194BBD86ED6F234417A28D28E7CAF55411A5B696FD4F2344177A1340D7FAF5541A08D937BD1F234413C46317582AF55414EA278EDD0F23441F7F7670483AF55419E3423A0D2F234414692301D83AF55411EC11EE9D1F23441A6F007DE86AF55415DE959A7CFF2344107B5E1E186AF5541A31608AACFF234419D842E6187AF5541
