WKT	BW_ID	IslandName	Date	Start	End	Name	Function	Start_Function	End_Function	Use	Start_Use	End_Use	Typology	Start_Typology	End_Typology	Height	Material	Architect	Patron	Owner	Start_Owner	End_Owner	Tenant	Start_Tenant	End_Tenant	SHP_Lenght	SHP_Area
"MULTIPOLYGON (((1370065.6457473 5692867.65079106,1370071.2642008 5692881.5255545,1370100.35444686 5692867.71915643,1370094.92017178 5692855.03023927,1370065.6457473 5692867.65079106)))"	SS_BLDG_017	San Secondo	1717	1608-01-01	1820-12-31	Chiesa	Private	1608-01-01	1806-07-27	Religious	1608-01-01	1806-07-27	Church	1608-01-01	1806-07-27		"Bricks ; Istrian marble"		Dominican Friars of San Secondo	Dominican Friars of San Secondo	1534-01-01	1806-07-27				65.1657669977359	226.718730191543
"MULTIPOLYGON (((1370032.94292584 5692870.25491799,1370037.09031622 5692866.70569735,1370044.11631411 5692860.69283354,1370029.99649351 5692843.97019106,1370018.97627021 5692853.8264445,1370032.94292584 5692870.25491799)))"	SS_BLDG_014	San Secondo	1717	1500-01-01	1849-12-31	Cavana	Public	1500-01-01	1849-12-31	Accomodation	1500-01-01	1849-12-31	Shelter for boats	1500-01-01	1849-12-31		"Bricks ; Stone"		Office of the Savi ed esecutori alle acque	Venetian Republic	1500-01-01	1797-05-11	Dominican Friars of San Secondo	1534-01-01	1806-07-27	51.1677531507492	157.628964502879
"MULTIPOLYGON (((1370039.04403965 5692836.23946212,1370035.36913964 5692839.68715979,1370030.35832014 5692844.39861217,1370044.11631411 5692860.69283354,1370053.16902368 5692852.94557891,1370039.04403965 5692836.23946212)))"	SS_BLDG_024	San Secondo	1717	1500-01-01	1838-12-31	Foresteria	Public	1500-01-01	1838-12-31	Accomodation	1500-01-01	1838-12-31	Guest house	1500-01-01	1838-12-31		"Bricks ; Istrian marble"		Venetian Senate	Venetian Republic	1500-01-01	1797-05-11	Dominican Friars of San Secondo	1534-01-01	1806-07-27	47.0230201732414	126.609861793572
"MULTIPOLYGON (((1370035.86769636 5692831.87243614,1370039.04403965 5692836.23946212,1370053.16902368 5692852.94557891,1370063.81205817 5692868.4206172,1370074.49067097 5692863.83487917,1370072.60060337 5692858.6567972,1370052.52091105 5692830.28559567,1370045.44353241 5692822.78177392,1370043.82714586 5692824.28451532,1370035.86769636 5692831.87243614)))"	SS_BLDG_049	San Secondo	1717	1500-01-01	1838-12-31	Monastero	Private	1500-01-01	1806-07-27	Religious	1500-01-01	1806-07-27	Monastery	1500-01-01	1806-07-27		"Bricks ; Istrian marble"		Baffo family	Dominican Friars of San Secondo	1534-01-01	1806-07-27				85.1940171636558	311.056242245962
"MULTIPOLYGON (((1370073.7283619 5692887.8809194,1370078.2934927 5692885.62981698,1370090.97603084 5692879.61069657,1370091.9049616 5692879.16993062,1370105.04914695 5692872.93159933,1370105.21713862 5692872.85180891,1370102.71466089 5692866.71487634,1370100.35444686 5692867.71915643,1370088.7814231 5692873.21177862,1370071.2642008 5692881.5255545,1370073.7283619 5692887.8809194)))"	SS_BLDG_019	San Secondo	1717	1607-01-01	1820-12-31	Loggia	Private	1607-01-01	1806-07-27	Religious	1607-01-01	1806-07-27	Loggia	1607-01-01	1806-07-27		"Bricks ; Istrian marble"	Padre Alessandro Malerba	Dominican Friars of San Secondo	Dominican Friars of San Secondo	1607-01-01	1806-07-27				58.3393134654195	115.248259002748
"MULTIPOLYGON (((1370098.31093942 5692850.52253415,1370099.03341457 5692850.48353573,1370099.73821942 5692850.31928375,1370100.40377267 5692850.03466956,1370101.00993023 5692849.63838181,1370101.53839985 5692849.14260355,1370101.97299614 5692848.56228754,1370102.30062958 5692847.91497257,1370102.51115269 5692847.22050408,1370102.59831392 5692846.49999487,1370102.55944413 5692845.7751239,1370102.39573498 5692845.0679819,1370102.11206168 5692844.40022169,1370101.71707827 5692843.79191155,1370101.22294508 5692843.26183211,1370100.64454785 5692842.82579462,1370099.99937319 5692842.49707458,1370099.30720086 5692842.28585312,1370098.58907384 5692842.19840255,1370097.86659936 5692842.23740087,1370097.1617951 5692842.40165254,1370096.49624228 5692842.68626621,1370095.88993699 5692843.08241663,1370095.36161537 5692843.57833094,1370094.92701887 5692844.15864631,1370094.59937916 5692844.80581816,1370094.38885548 5692845.5002863,1370094.30169944 5692846.22093797,1370094.34056857 5692846.94580905,1370094.50427713 5692847.65295137,1370094.78794999 5692848.32071207,1370095.18278518 5692848.92888611,1370095.67706633 5692849.45910295,1370096.25546376 5692849.89514107,1370096.90049672 5692850.22386751,1370097.59266962 5692850.43508932,1370098.31093942 5692850.52253415)))"	SS_BLDG_032	San Secondo	1717	1500-01-01	1733-12-31	Campanile	Private	1500-01-01	1733-12-31	Religious	1500-01-01	1733-12-31	Bell tower	1500-01-01	1733-12-31		Bricks		Baffo family	Dominican Friars of San Secondo	1534-01-01	1806-07-27				18.3028992181332	26.5905112842053
"MULTIPOLYGON (((1370094.92017178 5692855.03023927,1370100.02093469 5692866.94018281,1370100.35444686 5692867.71915643,1370102.71466089 5692866.71487634,1370106.95771608 5692861.95596787,1370102.21440406 5692851.76546769,1370094.92017178 5692855.03023927)))"	SS_BLDG_018	San Secondo	1717	1672-01-01	1820-12-31	Sacrestia	Private	1672-01-01	1806-07-27	Religious	1672-01-01	1806-07-27	Sacristy	1672-01-01	1806-07-27		"Bricks ; Istrian marble"	Baldassare Longhena	Dominican Friars of San Secondo	Dominican Friars of San Secondo	1672-01-01	1806-07-27				29.4363663421932	52.1430136735508
"MULTIPOLYGON (((1370102.71466089 5692866.71487634,1370105.21713862 5692872.85180891,1370112.49761924 5692885.30403782,1370115.63437918 5692890.72028196,1370122.00445474 5692903.09288153,1370123.78815393 5692906.37275108,1370129.84763499 5692917.51506844,1370146.00126876 5692908.10535837,1370140.50135638 5692899.11481001,1370137.85585507 5692894.67214228,1370136.60720666 5692892.74899453,1370130.91082051 5692883.00881375,1370117.63896901 5692857.93114305,1370106.95771608 5692861.95596787,1370102.71466089 5692866.71487634)))"	SS_BLDG_031	San Secondo	1717	1518-01-01	1776-12-31	Dormitorio	Private	1518-01-01	1776-12-31	Religious	1518-01-01	1776-12-31	Dormitory	1518-01-01	1776-12-31		"Bricks ; Istrian marble"		Baffo family	Dominican Friars of San Secondo	1534-01-01	1806-07-27				106.43495676324	511.278835170176
"MULTIPOLYGON (((1370045.12285584 5692884.58678424,1370036.88289033 5692890.78037978,1370033.88361023 5692893.1971636,1370036.38881621 5692896.0024334,1370047.70489844 5692887.61298815,1370045.12285584 5692884.58678424)))"	SS_BLDG_041	San Secondo	1717	1500-01-01	1838-12-31	Pontile	Private	1500-01-01	1806-07-27	Service	1500-01-01	1838-12-31	Dock	1500-01-01	1838-12-31		Wood		Benedectine Nuns of San Secondo	Dominican Friars of San Secondo	1534-01-01	1806-07-27				25.2535648287201	27.1538898923165
"MULTIPOLYGON (((1370140.50135638 5692899.11481001,1370151.4755324 5692892.70897276,1370142.63843389 5692876.40988015,1370130.91082051 5692883.00881375,1370136.60720666 5692892.74899453,1370137.85585507 5692894.67214228,1370140.50135638 5692899.11481001)))"	SS_BLDG_033	San Secondo	1717	1563-01-01	1788-12-31	Cucina	Private	1563-01-01	1788-12-31	Service	1563-01-01	1788-12-31	Kitchen	1563-01-01	1788-12-31		"Bricks ; Istrian marble"	Giovanni da Zon	Dominican Friars of San Secondo	Dominican Friars of San Secondo	1563-01-01	1806-07-27				44.5075106907333	120.296543357416
